公司名称 公司规模 岗位 公司位置 年薪 经验要求 basic ID
名帅科技 教育｜培训,IT技术服务｜咨询,不需要融资,50-150人 安卓android开发工程师 广州·白云大道 12k-13k 经验3-5年,大专 安卓android开发工程师,广州·白云大道 700
中追（北京）科技有限公司 IT技术服务｜咨询,未融资,50-150人 安卓android开发工程师 北京·来广营 10k-15k 经验3-5年,本科 安卓android开发工程师,北京·来广营 701
大泗医疗 医疗｜保健｜美容,不需要融资,50-150人 Android,安卓开发工程师 南京·江宁区 9k-13k 经验3-5年,本科 Android,安卓开发工程师,南京·江宁区 702
舒塔互联网 IT技术服务｜咨询,软件服务｜咨询,未融资,15-50人 安卓android开发工程师 烟台·向阳 5k-10k 经验1-3年,本科 安卓android开发工程师,烟台·向阳 703
丰利网络 社交平台,工具类产品,天使轮,少于15人 安卓android开发工程师 广州·珠江新城 18k-25k 经验5-10年,本科 安卓android开发工程师,广州·珠江新城 704
深圳星创 IT技术服务｜咨询,未融资,50-150人 安卓android开发工程师 深圳·福田区 16k-28k 经验3-5年,本科 安卓android开发工程师,深圳·福田区 705
无锡壹阳能源科技有限公司 新能源汽车制造,不需要融资,少于15人 Android,安卓开发工程师 无锡·新吴区 12k-22k 经验3-5年,本科 Android,安卓开发工程师,无锡·新吴区 706
无锡览山信息科技有限公司 新媒体,社交平台,社交媒体,A轮,50-150人 Android,安卓开发工程师 苏州·张家港市 15k-20k 经验5-10年,大专 Android,安卓开发工程师,苏州·张家港市 707
深圳市罗湖区平步互动传媒工作室 新媒体,文化传媒,不需要融资,少于15人 Android安卓开发工程师 深圳·罗湖区 20k-25k 经验5-10年,本科 Android安卓开发工程师,深圳·罗湖区 708
恒玄科技 IT技术服务｜咨询,不需要融资,15-50人 Android安卓开发工程师 深圳·南山区 20k-30k 经验3-5年,本科 Android安卓开发工程师,深圳·南山区 709
存晰网络 数据服务｜咨询,区块链,不需要融资,少于15人 安卓android开发工程师 上海·莘庄 14k-18k 经验3-5年,本科 安卓android开发工程师,上海·莘庄 710
通证数据 智能硬件,医疗｜保健｜美容,未融资,15-50人 安卓android开发工程师 长沙·岳麓区 8k-12k 经验3-5年,本科 安卓android开发工程师,长沙·岳麓区 711
华见科技 移动互联网,数据服务,未融资,15-50人 安卓android开发 广州·黄阁 6k-10k 经验1-3年,大专 安卓android开发,广州·黄阁 712
云之端 IT技术服务｜咨询,物联网,能源｜矿产｜环保,不需要融资,50-150人 安卓android开发工程师 厦门·思明区 21k-25k 经验3-5年,本科 安卓android开发工程师,厦门·思明区 713
杭州领图 数据服务,上市公司,500-2000人 android,安卓开发工程师 杭州·北干 12k-18k 经验3-5年,本科 android,安卓开发工程师,杭州·北干 714
华宇 移动互联网,D轮及以上,500-2000人 安卓android开发工程师 大连·甘井子区 10k-16k 经验3-5年,本科 安卓android开发工程师,大连·甘井子区 715
合合信息 移动互联网,不需要融资,50-150人 android,安卓开发工程师 上海·静安区 22k-35k 经验3-5年,本科 android,安卓开发工程师,上海·静安区 716
繁花科技 软件服务｜咨询,未融资,15-50人 android,安卓开发工程师 苏州·工业园区 13k-15k 经验3-5年,本科 android,安卓开发工程师,苏州·工业园区 717
苏州枯桐智能科技有限公司 软件服务｜咨询,社交平台,社交媒体,A轮,50-150人 android,安卓开发工程师 无锡·蠡湖 13k-18k 经验5-10年,大专 android,安卓开发工程师,无锡·蠡湖 718
华中时讯 IT技术服务｜咨询,在线医疗,物联网,不需要融资,50-150人 android,安卓开发工程师 武汉·东湖新技术开发区 9k-18k 经验不限,本科 android,安卓开发工程师,武汉·东湖新技术开发区 719
唯灵医疗 软件服务｜咨询,IT技术服务｜咨询,工具类产品,未融资,少于15人 安卓android开发工程师 杭州·滨江区 11k-22k 经验3-5年,本科 安卓android开发工程师,杭州·滨江区 720
予乐科技 IT技术服务｜咨询,未融资,15-50人 安卓android开发工程师 成都·双流县 8k-14k 经验1-3年,本科 安卓android开发工程师,成都·双流县 721
物量智能 企业服务,未融资,15-50人 安卓android开发工程师 上海·松江区 15k-30k 经验5-10年,本科 安卓android开发工程师,上海·松江区 722
精控能源 能源｜矿产｜环保,新能源汽车制造,智能硬件,C轮,150-500人 android,安卓开发工程师 苏州·虎丘区 15k-25k 经验5-10年,本科 android,安卓开发工程师,苏州·虎丘区 723
宁曦科技 软件服务｜咨询,未融资,少于15人 android,安卓开发工程师 广州·天河区 17k-25k 经验3-5年,本科 android,安卓开发工程师,广州·天河区 724
Frog 短视频,新媒体,社交媒体,B轮,50-150人 安卓android开发工程师 北京·百子湾 15k-30k 经验3-5年,本科 安卓android开发工程师,北京·百子湾 725
滴翠智能 人工智能,物联网,B轮,50-150人 安卓android开发工程师 上海·方松 15k-25k 经验3-5年,本科 安卓android开发工程师,上海·方松 726
梧桐车联 人工智能服务,不需要融资,500-2000人 安卓android开发工程师 北京·朝阳区 16k-30k 经验3-5年,本科 安卓android开发工程师,北京·朝阳区 727
梧桐车联 人工智能服务,不需要融资,500-2000人 安卓android开发工程师 重庆·双凤桥 12k-20k 经验3-5年,本科 安卓android开发工程师,重庆·双凤桥 728
之几信息 IT技术服务｜咨询,软件服务｜咨询,不需要融资,50-150人 android,安卓开发工程师 南京·江宁区 7k-11k 经验在校,应届,本科 android,安卓开发工程师,南京·江宁区 729
之几信息 IT技术服务｜咨询,软件服务｜咨询,不需要融资,50-150人 android,安卓开发工程师 南京·江宁区 7k-11k 经验不限,本科 android,安卓开发工程师,南京·江宁区 730
崧茶茶文化 新零售,未融资,少于15人 安卓android开发工程师 广州·天河区 7k-12k 经验1-3年,本科 安卓android开发工程师,广州·天河区 731
软语 移动互联网,其他,未融资,150-500人 安卓android开发工程师 郑州·管城回族区 8k-11k 经验3-5年,本科 安卓android开发工程师,郑州·管城回族区 732
领域天马 移动互联网,天使轮,15-50人 初级Android安卓开发工程师 深圳·南油 5k-10k 经验1年以下,大专 初级Android安卓开发工程师,深圳·南油 733
求一科技 软件服务｜咨询,IT技术服务｜咨询,数据服务｜咨询,不需要融资,50-150人 安卓android开发工程师 深圳·南山区 16k-23k 经验3-5年,本科 安卓android开发工程师,深圳·南山区 734
绘玩教育 移动互联网,教育,天使轮,少于15人 android,安卓开发工程师 大连·凌水 10k-15k 经验3-5年,本科 android,安卓开发工程师,大连·凌水 735
秀太网络 游戏,不需要融资,15-50人 安卓android开发工程师 成都·猛追湾 10k-15k 经验1-3年,不限 安卓android开发工程师,成都·猛追湾 736
软通动力 信息安全,人工智能,上市公司,2000人以上 android,安卓开发工程师 南京·小行 15k-30k 经验3-5年,本科 android,安卓开发工程师,南京·小行 737
中软国际科技服务有限公司 IT技术服务｜咨询,上市公司,2000人以上 android,安卓开发工程师 南京·江浦 15k-30k 经验3-5年,本科 android,安卓开发工程师,南京·江浦 738
成都米么信息技术有限公司 IT技术服务｜咨询,不需要融资,50-150人 android,安卓开发工程师 成都·武侯区 8k-12k 经验1-3年,大专 android,安卓开发工程师,成都·武侯区 739
深圳音搜未来信息科技 IT技术服务｜咨询,未融资,50-150人 安卓android开发工程师 深圳·南山区 9k-12k 经验3-5年,大专 安卓android开发工程师,深圳·南山区 740
彩点科技 教育｜培训,未融资,15-50人 安卓android 广州·黄埔区 10k-20k 经验3-5年,本科 安卓android,广州·黄埔区 741
比特跳动 软件服务｜咨询,工具类产品,未融资,15-50人 安卓android开发工程师 长沙·咸嘉新村 5k-6k 经验1-3年,大专 安卓android开发工程师,长沙·咸嘉新村 742
硬核聚视 音频｜视频媒体,不需要融资,150-500人 安卓android开发工程师 北京·望京 14k-28k 经验3-5年,本科 安卓android开发工程师,北京·望京 743
NNG 移动互联网,信息安全,未融资,500-2000人 安卓android开发工程师 重庆·两江新区 7k-14k 经验1-3年,本科 安卓android开发工程师,重庆·两江新区 744
荣耀终端有限公司 智能硬件,不需要融资,2000人以上 安卓android开发工程师 南京·雨花台区 25k-50k 经验3-5年,本科 安卓android开发工程师,南京·雨花台区 745
原生益动 软件服务｜咨询,IT技术服务｜咨询,贸易｜进出口,未融资,50-150人 安卓android开发工程师 成都·金牛区 6k-10k 经验1-3年,大专 安卓android开发工程师,成都·金牛区 746
牧原股份 其他,上市公司,2000人以上 安卓android开发工程师 南阳·卧龙区 15k-20k 经验5-10年,本科 安卓android开发工程师,南阳·卧龙区 747
凯酷科技 物联网,人工智能服务,智能硬件,未融资,少于15人 安卓android开发工程师 石家庄·桥西区 7k-10k 经验5-10年,大专 安卓android开发工程师,石家庄·桥西区 748
格林豪泰酒店管理集团 消费生活,旅游,不需要融资,2000人以上 安卓android开发工程师 上海·虹梅路 15k-22k 经验1-3年,本科 安卓android开发工程师,上海·虹梅路 749
盛达恒通能源 工具类产品,不需要融资,50-150人 安卓android开发工程师 北京·四惠 15k-20k 经验3-5年,本科 安卓android开发工程师,北京·四惠 750
八月文化 文化传媒,未融资,150-500人 安卓android开发工程师 深圳·南油 13k-22k 经验5-10年,本科 安卓android开发工程师,深圳·南油 751
龙博谛 软件服务｜咨询,IT技术服务｜咨询,信息安全,未融资,15-50人 Android开发工程师 厦门·湖里区 10k-20k 经验不限,不限 Android开发工程师,厦门·湖里区 752
球球空间 IT技术服务｜咨询,工具类产品,不需要融资,少于15人 android开发工程师 郑州·长江路 7k-13k 经验1-3年,大专 android开发工程师,郑州·长江路 753
百度 工具类产品,人工智能服务,信息检索,上市公司,2000人以上 android开发工程师 北京·海淀区 20k-35k 经验3-5年,本科 android开发工程师,北京·海淀区 754
拓维云创 教育,游戏,上市公司,2000人以上 android开发工程师 长沙·岳麓区 10k-15k 经验3-5年,本科 android开发工程师,长沙·岳麓区 755
元时空智能 IT技术服务｜咨询,软件服务｜咨询,不需要融资,500-2000人 android开发工程师 成都·武侯区 16k-22k 经验3-5年,大专 android开发工程师,成都·武侯区 756
地测瑟福 其他,未融资,少于15人 Android开发工程师 上海·张江 10k-15k 经验1-3年,本科 Android开发工程师,上海·张江 757
扇贝 在线教育,工具类产品,内容社区,B轮,150-500人 android开发工程师 南京·玄武区 10k-15k 经验1-3年,本科 android开发工程师,南京·玄武区 758
景树园 工具,不需要融资,15-50人 Android开发工程师 杭州·滨江区 8k-16k 经验不限,不限 Android开发工程师,杭州·滨江区 759
是否科技 软件服务｜咨询,人工智能服务,短视频,不需要融资,少于15人 android开发工程师 东莞·东城街道 8k-15k 经验1-3年,不限 android开发工程师,东莞·东城街道 760
快手 短视频,上市公司,2000人以上 android开发工程师 北京·海淀区 25k-40k 经验3-5年,本科 android开发工程师,北京·海淀区 761
狮哲文化创意 教育｜培训,休闲｜娱乐,游戏,未融资,少于15人 Android 广州·西关 15k-25k 经验3-5年,本科 Android,广州·西关 762
揽象科技 区块链、软件服务｜咨询,A轮,15-50人 android开发工程师 深圳·宝安区 18k-30k 经验5-10年,本科 android开发工程师,深圳·宝安区 763
夔牛科技 数据服务,硬件,未融资,50-150人 android开发工程师 重庆·渝北区 9k-10k 经验3-5年,大专 android开发工程师,重庆·渝北区 764
坤美达 音频｜视频媒体,未融资,少于15人 android开发工程师 西安·雁塔区 10k-15k 经验3-5年,大专 android开发工程师,西安·雁塔区 765
德科信息 物联网,不需要融资,2000人以上 android开发工程师 深圳·南山区 8k-10k 经验1-3年,本科 android开发工程师,深圳·南山区 766
海康威视 物联网,数据服务｜咨询,上市公司,2000人以上 android开发工程师 杭州·滨江区 16k-24k 经验3-5年,本科 android开发工程师,杭州·滨江区 767
广东龙泉科技有限公司 移动互联网,数据服务,不需要融资,150-500人 android开发工程师 广州·客村 9k-18k 经验3-5年,本科 android开发工程师,广州·客村 768
牧原股份 其他,上市公司,2000人以上 android开发工程师 南阳·卧龙区 15k-25k 经验3-5年,本科 android开发工程师,南阳·卧龙区 769
阿里巴巴-B类事业群 电商平台,上市公司,2000人以上 高级android开发工程师 杭州·长河 20k-40k 经验3-5年,本科 高级android开发工程师,杭州·长河 770
华为技术有限公司 智能硬件,IT技术服务｜咨询,制造业,不需要融资,2000人以上 android开发工程师 深圳·坂田 15k-20k 经验3-5年,本科 android开发工程师,深圳·坂田 771
金擎科技 移动互联网,消费生活,不需要融资,15-50人 android开发工程师 郑州·郑东新区 8k-10k 经验3-5年,本科 android开发工程师,郑州·郑东新区 772
百度 工具类产品,人工智能服务,信息检索,上市公司,2000人以上 Android开发工程师 北京·上地 20k-40k 经验3-5年,本科 Android开发工程师,北京·上地 773
东软 数据服务、汽车丨出行,上市公司,2000人以上 android开发工程师 大连·七贤岭 13k-17k 经验3-5年,本科 android开发工程师,大连·七贤岭 774
海聊科技 移动互联网,其他,A轮,15-50人 android开发工程师 佛山·南海区 9k-15k 经验1-3年,本科 android开发工程师,佛山·南海区 775
美团 消费生活,上市公司,2000人以上 android高级开发工程师 北京·朝阳区 30k-45k 经验3-5年,本科 android高级开发工程师,北京·朝阳区 776
摩尔斯 软件服务｜咨询,工具类产品,内容社区,未融资,50-150人 android开发工程师 北京·马连洼 18k-35k 经验3-5年,本科 android开发工程师,北京·马连洼 777
摩尔斯 软件服务｜咨询,工具类产品,内容社区,未融资,50-150人 android开发工程师 成都·武侯区 15k-26k 经验3-5年,本科 android开发工程师,成都·武侯区 778
统才咨询 金融,未融资,50-150人 Android开发工程师 上海·徐汇区 10k-15k 经验不限,大专 Android开发工程师,上海·徐汇区 779
壹佰金 IT技术服务｜咨询,未融资,150-500人 android开发工程师 大连·滨海路 10k-16k 经验3-5年,本科 android开发工程师,大连·滨海路 780
每平每屋设计家 新零售,工具类产品,不需要融资,150-500人 android开发工程师 上海·浦东新区 20k-35k 经验3-5年,本科 android开发工程师,上海·浦东新区 781
指行天下 游戏,内容资讯,短视频,B轮,50-150人 android开发工程师 成都·武侯区 12k-18k 经验5-10年,本科 android开发工程师,成都·武侯区 782
软通动力 IT技术服务｜咨询,不需要融资,2000人以上 android 南京·小行 11k-22k 经验3-5年,本科 android,南京·小行 783
兼职猫 工具类产品,C轮,150-500人 android开发工程师 广州·番禺区 12k-17k 经验3-5年,本科 android开发工程师,广州·番禺区 784
西西弗书店 新媒体,不需要融资,2000人以上 android开发工程师 重庆·渝中区 13k-25k 经验5-10年,本科 android开发工程师,重庆·渝中区 785
伯牙安讯 IT技术服务｜咨询,天使轮,15-50人 高级android开发工程师 郑州·中原区 12k-15k 经验5-10年,本科 高级android开发工程师,郑州·中原区 786
德科信息 物联网,不需要融资,2000人以上 android开发工程师 西安·雁塔区 15k-17k 经验不限,本科 android开发工程师,西安·雁塔区 787
金证睿服 软件服务｜咨询,上市公司,2000人以上 android开发工程师 深圳·南油 10k-17k 经验1-3年,大专 android开发工程师,深圳·南油 788
联软科技 信息安全,B轮,500-2000人 android开发工程师 长沙·望岳 12k-20k 经验1-3年,本科 android开发工程师,长沙·望岳 789
联软科技 信息安全,B轮,500-2000人 android高级开发工程师 长沙·望岳 15k-30k 经验3-5年,本科 android高级开发工程师,长沙·望岳 790
安来诺 软件服务｜咨询,IT技术服务｜咨询,物联网,不需要融资,50-150人 android开发工程师 南京·宁南 15k-30k 经验3-5年,本科 android开发工程师,南京·宁南 791
华里网络 软件服务｜咨询,不需要融资,50-150人 android开发工程师 深圳·新安 9k-18k 经验3-5年,本科 android开发工程师,深圳·新安 792
卓见软件 移动互联网,不需要融资,50-150人 Android高级开发工程师 郑州·金水区 15k-25k 经验不限,大专 Android高级开发工程师,郑州·金水区 793
比亚迪 制造业,新能源汽车制造,上市公司,2000人以上 高级android开发工程师 深圳·龙岗区 15k-25k 经验5-10年,本科 高级android开发工程师,深圳·龙岗区 794
诺威达 文娱丨内容,其他,B轮,150-500人 android开发工程师 深圳·大冲 20k-30k 经验在校,应届,本科 android开发工程师,深圳·大冲 795
易博新睿 工具,物联网,未融资,50-150人 android高级开发工程师 福州·晋安区 10k-15k 经验3-5年,本科 android高级开发工程师,福州·晋安区 796
网达软件 软件服务｜咨询,IT技术服务｜咨询,上市公司,500-2000人 Android开发工程师 合肥·双岗 15k-25k 经验5-10年,大专 Android开发工程师,合肥·双岗 797
小邹粮油 电商,天使轮,少于15人 android开发工程师 杭州·西溪 15k-30k 经验3-5年,大专 android开发工程师,杭州·西溪 798
真相网络 数据服务｜咨询,IT技术服务｜咨询,B轮,50-150人 android开发工程师 北京·酒仙桥 14k-18k 经验3-5年,本科 android开发工程师,北京·酒仙桥 799
PPIO 人工智能服务,A轮,50-150人 android开发工程师 上海·浦东新区 25k-35k 经验不限,本科 android开发工程师,上海·浦东新区 800
普世通达文化传媒 在线教育,文化传媒,未融资,50-150人 android开发工程师 北京·朝阳区 20k-30k 经验5-10年,本科 android开发工程师,北京·朝阳区 801
数效科技 软件服务｜咨询,未融资,少于15人 android开发工程师 北京·九棵树 30k-50k 经验3-5年,本科 android开发工程师,北京·九棵树 802
荣耀终端有限公司 智能硬件,不需要融资,2000人以上 android开发工程师 南京·雨花台区 25k-50k 经验5-10年,本科 android开发工程师,南京·雨花台区 803
汽车之家 内容资讯,上市公司,2000人以上 android开发工程师 北京·中关村 20k-40k 经验1-3年,本科 android开发工程师,北京·中关村 804
卓见软件 移动互联网,不需要融资,50-150人 高级Android开发工程师 郑州·金水区 15k-24k 经验5-10年,本科 高级Android开发工程师,郑州·金水区 805
晶甫信息 IT技术服务｜咨询,软件服务｜咨询,不需要融资,50-150人 高级android开发工程师 北京·五道口 20k-23k 经验5-10年,本科 高级android开发工程师,北京·五道口 806
晶甫信息 IT技术服务｜咨询,软件服务｜咨询,不需要融资,50-150人 高级android开发工程师 长春·新发 14k-16k 经验5-10年,本科 高级android开发工程师,长春·新发 807
智蛋科技 人工智能服务,未融资,50-150人 android开发工程师 深圳·后海 15k-25k 经验3-5年,大专 android开发工程师,深圳·后海 808
悠越科技 软件开发,不需要融资,15-50人 android开发工程师 成都·双楠 3k-4k 经验在校,应届,本科 android开发工程师,成都·双楠 809
中软国际科技服务有限公司 IT技术服务｜咨询,上市公司,2000人以上 android开发工程师 南京·宁南 11k-22k 经验3-5年,大专 android开发工程师,南京·宁南 810
毕咨信息 IT技术服务｜咨询,未融资,15-50人 android开发工程师 上海·曹杨 9k-12k 经验1-3年,本科 android开发工程师,上海·曹杨 811
立达信物联科技股份有限公司 智能硬件,物联网,不需要融资,2000人以上 高级android开发工程师 深圳·西丽 20k-40k 经验3-5年,本科 高级android开发工程师,深圳·西丽 812
优米数字智能 人工智能服务,物联网,数据服务｜咨询,不需要融资,15-50人 Android开发工程师 深圳·民治村 15k-21k 经验3-5年,本科 Android开发工程师,深圳·民治村 813
荣耀终端有限公司 智能硬件,不需要融资,2000人以上 android开发工程师 南京·小行 15k-30k 经验不限,本科 android开发工程师,南京·小行 814
荣耀终端有限公司 智能硬件,不需要融资,2000人以上 android开发工程师 南京·小行 15k-30k 经验不限,本科 android开发工程师,南京·小行 815
璞灏 文娱丨内容,未融资,15-50人 android开发工程师 杭州·长河 15k-20k 经验1-3年,本科 android开发工程师,杭州·长河 816
云次方 软件服务｜咨询,数据服务｜咨询,IT技术服务｜咨询,未融资,少于15人 android开发工程师 长沙·黄兴路 10k-17k 经验3-5年,大专 android开发工程师,长沙·黄兴路 817
火蚁服饰 新零售,营销服务｜咨询,未融资,50-150人 android开发工程师 广州·天河区 9k-15k 经验3-5年,本科 android开发工程师,广州·天河区 818
昆山可圈可点服务 IT技术服务｜咨询,不需要融资,150-500人 android开发工程师 苏州·昆山市 13k-18k 经验3-5年,大专 android开发工程师,苏州·昆山市 819
尚能视觉 音频｜视频媒体,电商平台,IT技术服务｜咨询,天使轮,15-50人 android开发工程师 深圳·南山区 13k-18k 经验1-3年,本科 android开发工程师,深圳·南山区 820
中软国际科技服务有限公司 IT技术服务｜咨询,上市公司,2000人以上 Android开发工程师 西安·雁塔区 10k-16k 经验3-5年,本科 Android开发工程师,西安·雁塔区 821
智媒云图 数据服务｜咨询,IT技术服务｜咨询,不需要融资,15-50人 android开发工程师 广州·番禺区 12k-20k 经验1-3年,本科 android开发工程师,广州·番禺区 822
立林科技 人工智能,物联网,不需要融资,500-2000人 android开发工程师 厦门·集美区 10k-15k 经验3-5年,本科 android开发工程师,厦门·集美区 823
牵手未来 社交平台,A轮,150-500人 高级android开发工程师 北京·朝阳区 30k-60k 经验3-5年,本科 高级android开发工程师,北京·朝阳区 824
嘉信建设集团 房产家居,不需要融资,500-2000人 高级android开发工程师 深圳·西丽 20k-40k 经验5-10年,本科 高级android开发工程师,深圳·西丽 825
德赛西威 硬件,其他,上市公司,2000人以上 android开发工程师 惠州·惠城区 15k-25k 经验不限,大专 android开发工程师,惠州·惠城区 826
药师帮 在线医疗,电商平台,D轮及以上,2000人以上 高级Android开发工程师 广州·赤岗 10k-20k 经验3-5年,本科 高级Android开发工程师,广州·赤岗 827
加绩中国 企业服务,不需要融资,2000人以上 android开发工程师 上海·嘉定区 18k-23k 经验5-10年,本科 android开发工程师,上海·嘉定区 828
全球购骑士特权 消费生活,B轮,500-2000人 android开发工程师 广州·天河区 14k-20k 经验3-5年,本科 android开发工程师,广州·天河区 829
好记星教育 教育｜培训,上市公司,50-150人 android开发工程师 无锡·梁溪区 10k-15k 经验3-5年,本科 android开发工程师,无锡·梁溪区 830
T3出行 移动互联网,物联网,天使轮,150-500人 android高级开发工程师 南京·开发区 20k-30k 经验5-10年,本科 android高级开发工程师,南京·开发区 831
慧博云通 IT技术服务｜咨询,未融资,2000人以上 android开发工程师 杭州·西兴 18k-20k 经验3-5年,大专 android开发工程师,杭州·西兴 832
灏漫科技 IT技术服务｜咨询,物联网,不需要融资,50-150人 android高级开发工程师 南京·江宁区 18k-28k 经验5-10年,本科 android高级开发工程师,南京·江宁区 833
动能无线 游戏,未融资,150-500人 Android开发工程师 深圳·南山区 12k-18k 经验1-3年,本科 Android开发工程师,深圳·南山区 834
有象科技 人工智能服务,天使轮,15-50人 android开发工程师 武汉·关山 15k-25k 经验3-5年,本科 android开发工程师,武汉·关山 835
鲸旗网络 社交平台,未融资,少于15人 Android开发工程师 广州·黄埔区 10k-18k 经验1-3年,本科 Android开发工程师,广州·黄埔区 836
冰川网络 游戏,上市公司,500-2000人 android开发工程师 深圳·科技园 16k-25k 经验3-5年,本科 android开发工程师,深圳·科技园 837
图羊科技 工具类产品,休闲｜娱乐,不需要融资,少于15人 android开发工程师 深圳·南山区 6k-7k 经验1-3年,本科 android开发工程师,深圳·南山区 838
大道同行 游戏,不需要融资,50-150人 android高级开发工程师 厦门·集美区 15k-30k 经验3-5年,本科 android高级开发工程师,厦门·集美区 839
58学车-驾校一点通 工具类产品,内容社区,不需要融资,150-500人 高级Android开发工程师 北京·大山子 15k-25k 经验3-5年,本科 高级Android开发工程师,北京·大山子 840
吉利控股集团 制造业,新能源汽车制造,上市公司,2000人以上 android高级开发工程师 宁波·慈溪市 20k-40k 经验5-10年,本科 android高级开发工程师,宁波·慈溪市 841
四川医帆科技有限公司 IT技术服务｜咨询,消费生活,不需要融资,15-50人 android开发工程师 成都·高新区 10k-15k 经验3-5年,大专 android开发工程师,成都·高新区 842
华为技术有限公司 智能硬件,IT技术服务｜咨询,制造业,不需要融资,2000人以上 android开发工程师 武汉·江夏区 20k-40k 经验不限,本科 android开发工程师,武汉·江夏区 843
珍爱有约 新媒体,MCN｜直播平台,社交媒体,未融资,15-50人 android开发工程师 成都·九江 8k-15k 经验3-5年,本科 android开发工程师,成都·九江 844
中软国际科技服务有限公司 IT技术服务｜咨询,上市公司,2000人以上 android开发工程师 南京·宁南 12k-24k 经验不限,本科 android开发工程师,南京·宁南 845
华为技术有限公司 智能硬件,IT技术服务｜咨询,制造业,不需要融资,2000人以上 android开发工程师 深圳·坂田 18k-36k 经验不限,本科 android开发工程师,深圳·坂田 846
趣虹 社交平台,A轮,50-150人 android开发工程师 长沙·望岳 8k-12k 经验1-3年,本科 android开发工程师,长沙·望岳 847
点众科技 新媒体,不需要融资,500-2000人 高级android开发工程师 北京·北太平庄 23k-40k 经验5-10年,本科 高级android开发工程师,北京·北太平庄 848
同花顺 科技金融,上市公司,2000人以上 android高级开发工程师 杭州·西溪 22k-35k 经验3-5年,本科 android高级开发工程师,杭州·西溪 849
橙色魔方 金融,数据服务,未融资,150-500人 android开发工程师 深圳·华强北 13k-25k 经验3-5年,本科 android开发工程师,深圳·华强北 850
CAROTA科络达 物联网,不需要融资,50-150人 Android高级开发工程师 上海·上海南站 18k-36k 经验3-5年,本科 Android高级开发工程师,上海·上海南站 851
听听FM 新媒体,不需要融资,50-150人 Android开发工程师 北京·建国门 10k-20k 经验3-5年,本科 Android开发工程师,北京·建国门 852
南方报业 文化传媒,不需要融资,2000人以上 Android开发工程师 广州·越秀区 20k-40k 经验不限,本科 Android开发工程师,广州·越秀区 853
蜂群科技 金融,移动互联网,天使轮,15-50人 高级android开发工程师 重庆·冉家坝 12k-18k 经验3-5年,本科 高级android开发工程师,重庆·冉家坝 854
点众科技 新媒体,不需要融资,500-2000人 android开发工程师 北京·海淀区 25k-35k 经验5-10年,本科 android开发工程师,北京·海淀区 855
火火科技 软件服务｜咨询,未融资,15-50人 android开发工程师 长沙·芙蓉区 8k-10k 经验不限,本科 android开发工程师,长沙·芙蓉区 856
飞欧比科技 工具类产品,不需要融资,15-50人 Android开发工程师 广州·珠江新城 12k-20k 经验1-3年,本科 Android开发工程师,广州·珠江新城 857
深创互娱 游戏,未融资,15-50人 android高级开发工程师 深圳·宝安区 16k-30k 经验5-10年,本科 android高级开发工程师,深圳·宝安区 858
飞猪 旅游｜出行,不需要融资,500-2000人 android高级开发工程师 杭州·余杭区 18k-35k 经验3-5年,本科 android高级开发工程师,杭州·余杭区 859
小牛互联 游戏,A轮,150-500人 android开发工程师 成都·锦江区 12k-24k 经验1-3年,本科 android开发工程师,成都·锦江区 860
北京数联领航网络科技有限公司 IT技术服务｜咨询,未融资,50-150人 android开发工程师 北京·海淀区 12k-18k 经验3-5年,本科 android开发工程师,北京·海淀区 861
小红书 电商平台,内容社区,D轮及以上,500-2000人 高级android开发工程师 北京·东城区 25k-50k 经验3-5年,硕士 高级android开发工程师,北京·东城区 862
小红书 电商平台,内容社区,D轮及以上,500-2000人 高级android开发工程师 上海·新天地 25k-50k 经验3-5年,硕士 高级android开发工程师,上海·新天地 863
宇信科技集团 IT技术服务｜咨询,上市公司,2000人以上 android开发工程师 珠海·香洲区 16k-20k 经验5-10年,本科 android开发工程师,珠海·香洲区 864
tideswing 社交平台,A轮,15-50人 android开发工程师 北京·五道口 20k-40k 经验1-3年,本科 android开发工程师,北京·五道口 865
伟创科技 游戏,未融资,少于15人 android开发工程师 永州·道县 7k-13k 经验1-3年,大专 android开发工程师,永州·道县 866
贝索斯 金融,企业服务,不需要融资,15-50人 android高级开发工程师 珠海·香洲区 15k-20k 经验5-10年,大专 android高级开发工程师,珠海·香洲区 867
科大讯飞 人工智能服务,IT技术服务｜咨询,上市公司,2000人以上 Android开发工程师 武汉·洪山区 13k-25k 经验3-5年,本科 Android开发工程师,武汉·洪山区 868
万开科技 物联网,未融资,15-50人 android开发工程师 成都·金牛区 12k-18k 经验3-5年,本科 android开发工程师,成都·金牛区 869
爱图仕 IT技术服务｜咨询,物联网,未融资,500-2000人 android开发工程师 深圳·龙华区 15k-22k 经验3-5年,本科 android开发工程师,深圳·龙华区 870
磁技兴业 文娱|内容,企业服务,工具,不需要融资,15-50人 android开发工程师 广州·市桥 15k-25k 经验3-5年,本科 android开发工程师,广州·市桥 871
法本信息 人工智能服务,IT技术服务｜咨询,上市公司,2000人以上 android高级开发工程师 广州·海珠区 18k-26k 经验3-5年,本科 android高级开发工程师,广州·海珠区 872
普元 软件服务｜咨询,不需要融资,500-2000人 android开发工程师 武汉·流芳 15k-20k 经验不限,大专 android开发工程师,武汉·流芳 873
平治东方 企业服务,硬件,不需要融资,150-500人 Android开发工程师 北京·西二旗 10k-20k 经验1-3年,大专 Android开发工程师,北京·西二旗 874
