公司名称 公司规模 岗位 公司位置 年薪 经验要求 basic ID
杭州研一智控科技有限公司 电商平台,不需要融资,50-150人 Python后端工程师 杭州·钱塘区 17k-25k 经验5-10年,本科 Python后端工程师,杭州·钱塘区 41
艾罗网络能源 软件服务｜咨询,数据服务｜咨询,不需要融资,50-150人 Python软件工程师 杭州·西湖区 15k-25k 经验3-5年,本科 Python软件工程师,杭州·西湖区 42
优为轻创 贸易｜进出口,不需要融资,50-150人 python开发工程师 深圳·西丽 15k-22k 经验3-5年,本科 python开发工程师,深圳·西丽 43
数族科技 软件服务｜咨询,数据服务｜咨询,不需要融资,150-500人 Python开发工程师 南京·浦口区 14k-25k 经验3-5年,本科 Python开发工程师,南京·浦口区 44
锐力斯 汽车交易平台,新能源汽车制造,不需要融资,2000人以上 Python工程师 苏州·虎丘区 12k-20k 经验3-5年,大专 Python工程师,苏州·虎丘区 45
成都国铁电气设备有限公司 专业服务｜咨询,营销服务｜咨询,不需要融资,50-150人 高级Python开发工程师 成都·双流区 11k-22k 经验5-10年,本科 高级Python开发工程师,成都·双流区 46
上海昇迪凡科技术有限公司 制造业,不需要融资,50-150人 高级Python开发工程师(Leader) 无锡·新吴区 20k-25k 经验5-10年,本科 高级Python开发工程师(Leader),无锡·新吴区 47
国城科技 数据服务｜咨询,IT技术服务｜咨询,信息安全,天使轮,50-150人 python 成都·三圣 12k-16k 经验3-5年,大专 python,成都·三圣 48
UX168 电商平台,内容社区,不需要融资,500-2000人 Python工程师 广州·天河区 12k-20k 经验不限,本科 Python工程师,广州·天河区 49
中盈优创 移动互联网,企业服务,未融资,少于15人 python开发工程师 重庆·渝北区 9k-18k 经验3-5年,本科 python开发工程师,重庆·渝北区 50
中盈优创 软件服务｜咨询,未融资,500-2000人 python开发工程师 南京·建邺区 9k-18k 经验3-5年,本科 python开发工程师,南京·建邺区 51
小豹科技 软件服务｜咨询,数据服务｜咨询,不需要融资,50-150人 Python工程师 成都·武侯区 10k-15k 经验3-5年,本科 Python工程师,成都·武侯区 52
天皓集团 其他,不需要融资,150-500人 python开发工程师 北京·五道口 15k-20k 经验3-5年,大专 python开发工程师,北京·五道口 53
亚电科技 工具类产品,专业服务｜咨询,软件服务｜咨询,天使轮,少于15人 python开发工程师 昆明·官渡区 5k-10k 经验不限,大专 python开发工程师,昆明·官渡区 54
骏兴纸业（深圳）有限公司 短视频,MCN｜直播平台,电商平台,未融资,15-50人 Python开发工程师 深圳·宝安区 10k-15k 经验3-5年,本科 Python开发工程师,深圳·宝安区 55
特易资讯 房地产｜建筑｜物业,不需要融资,150-500人 Python工程师 上海·徐汇区 15k-20k 经验1-3年,本科 Python工程师,上海·徐汇区 56
利尔达科技集团股份有限公司 居住服务,不需要融资,2000人以上 Python开发 杭州·余杭区 10k-15k 经验1-3年,本科 Python开发,杭州·余杭区 57
念珠智能 软件服务｜咨询,数据服务｜咨询,不需要融资,50-150人 python开发工程师 郑州·北环 4k-6k 经验3-5年,本科 python开发工程师,郑州·北环 58
中盈优创 专业服务｜咨询,不需要融资,2000人以上 python开发工程师 北京·海淀区 9k-18k 经验3-5年,本科 python开发工程师,北京·海淀区 59
信永中和 软件开发,不需要融资,15-50人 Python开发工程师 北京·东城区 10k-20k 经验3-5年,本科 Python开发工程师,北京·东城区 60
珠海天海风云科技有限公司 移动互联网,企业服务,不需要融资,150-500人 Python开发工程师 珠海·香洲区 10k-15k 经验3-5年,本科 Python开发工程师,珠海·香洲区 61
